origin_link,outgoing_link,origin_title,outgoing_title
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Determinants',b'Linear algebra',b'Determinants'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gaussian_elimination',b'Linear algebra',b'Gaussian elimination'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/H%C3%BCseyin_Tevfik_Pasha',b'Linear algebra',b'H\xc3\xbcseyin Tevfik Pasha'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Peano',b'Linear algebra',b'Peano'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Abstract_algebra',b'Linear algebra',b'Abstract algebra'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Quantum_mechanics',b'Linear algebra',b'Quantum mechanics'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Special_relativity',b'Linear algebra',b'Special relativity'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Statistics',b'Linear algebra',b'Statistics'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Algorithm',b'Linear algebra',b'Algorithm'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Hermann_Grassmann',b'Linear algebra',b'Hermann Grassmann'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/James_Joseph_Sylvester',b'Linear algebra',b'James Joseph Sylvester'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Arthur_Cayley',b'Linear algebra',b'Arthur Cayley'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Determinant',b'Linear algebra',b'Determinant'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Systems_of_linear_equations',b'Linear algebra',b'Systems of linear equations'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gottfried_Wilhelm_Leibniz',b'Linear algebra',b'Gottfried Wilhelm Leibniz'
